Time (s),Channel 1 (V),Channel 2 (V)
-0.005119288480154889,-0.1992013724970819,-0.1444986310071651
-0.005118038480154889,-0.1995447943610005,-0.1441577619070258
-0.005116788480154889,-0.1992013724970819,-0.1441577619070258
-0.005115538480154889,-0.1992013724970819,-0.1441577619070258
-0.005114288480154889,-0.1988579506331631,-0.1444986310071651
-0.005113038480154889,-0.1995447943610005,-0.1441577619070258
-0.005111788480154889,-0.1992013724970819,-0.1444986310071651
-0.005110538480154889,-0.1998882162249189,-0.1448395001073043
-0.005109288480154889,-0.1992013724970819,-0.1448395001073045
-0.005108038480154889,-0.1988579506331633,-0.1448395001073043
-0.005106788480154889,-0.1992013724970819,-0.1444986310071651
-0.005105538480154889,-0.1985145287692448,-0.1444986310071651
-0.005104288480154889,-0.1992013724970819,-0.1444986310071651
-0.005103038480154889,-0.1995447943610005,-0.1448395001073045
-0.005101788480154889,-0.1988579506331631,-0.1444986310071651
-0.005100538480154889,-0.1992013724970819,-0.1451803692074439
-0.005099288480154889,-0.1998882162249189,-0.1451803692074439
-0.005098038480154889,-0.1988579506331631,-0.1451803692074439
-0.005096788480154889,-0.1998882162249187,-0.1451803692074439
-0.005095538480154889,-0.1988579506331631,-0.1451803692074439
-0.005094288480154889,-0.1995447943610004,-0.1451803692074439
-0.005093038480154889,-0.1992013724970819,-0.1451803692074439
-0.005091788480154889,-0.1992013724970819,-0.1448395001073045
-0.005090538480154889,-0.1988579506331633,-0.1455212383075829
-0.005089288480154889,-0.1998882162249192,-0.1462029765078619
-0.005088038480154889,-0.1988579506331636,-0.1458621074077227
-0.005086788480154889,-0.1995447943610005,-0.1458621074077225
-0.005085538480154889,-0.1998882162249189,-0.1462029765078619
-0.005084288480154889,-0.1992013724970819,-0.1462029765078619
-0.005083038480154889,-0.1988579506331631,-0.1462029765078619
-0.005081788480154889,-0.1985145287692445,-0.1458621074077225
-0.005080538480154889,-0.1985145287692445,-0.1462029765078619
-0.005079288480154889,-0.1992013724970816,-0.1458621074077227
-0.005078038480154889,-0.1995447943610005,-0.1458621074077225
-0.005076788480154889,-0.1985145287692449,-0.1458621074077225
-0.005075538480154889,-0.1981711069053257,-0.1462029765078619
-0.005074288480154889,-0.1995447943610002,-0.1465438456080013
-0.005073038480154889,-0.1988579506331631,-0.1465438456080013
-0.005071788480154889,-0.1992013724970819,-0.1465438456080013
-0.005070538480154889,-0.1988579506331631,-0.1465438456080013
-0.005069288480154889,-0.1995447943610005,-0.1465438456080013
-0.005068038480154889,-0.199201372497082,-0.1465438456080013
-0.005066788480154889,-0.1985145287692445,-0.1468847147081406
-0.005065538480154889,-0.199201372497082,-0.1462029765078622
-0.005064288480154889,-0.1995447943610005,-0.1468847147081406
-0.005063038480154889,-0.199201372497082,-0.1472255838082798
-0.005061788480154889,-0.1995447943610005,-0.1468847147081406
-0.005060538480154889,-0.1995447943610005,-0.1468847147081406
-0.005059288480154889,-0.1995447943610005,-0.1468847147081406
-0.005058038480154889,-0.1998882162249192,-0.1475664529084194
-0.005056788480154889,-0.1992013724970822,-0.1475664529084194
-0.005055538480154889,-0.1992013724970819,-0.1468847147081406
-0.005054288480154889,-0.1992013724970819,-0.1475664529084192
-0.005053038480154889,-0.1992013724970819,-0.14722558380828
-0.005051788480154889,-0.198857950633163,-0.14722558380828
-0.005050538480154889,-0.1985145287692445,-0.14722558380828
-0.005049288480154889,-0.1981711069053257,-0.1475664529084194
-0.005048038480154889,-0.1988579506331628,-0.1472255838082802
-0.005046788480154889,-0.1992013724970819,-0.14722558380828
-0.005045538480154889,-0.1988579506331633,-0.14722558380828
-0.005044288480154889,-0.1995447943610005,-0.1479073220085587
-0.005043038480154889,-0.1992013724970819,-0.1475664529084192
-0.005041788480154889,-0.1992013724970819,-0.14722558380828
-0.005040538480154889,-0.1995447943610005,-0.1475664529084194
-0.005039288480154889,-0.1992013724970819,-0.14722558380828
-0.005038038480154889,-0.1992013724970819,-0.1479073220085587
-0.005036788480154889,-0.1995447943610004,-0.1482481911086979
-0.005035538480154889,-0.1992013724970819,-0.148248191108698
-0.005034288480154889,-0.1995447943610004,-0.1479073220085588
-0.005033038480154889,-0.1995447943610005,-0.148248191108698
-0.005031788480154889,-0.1988579506331634,-0.1479073220085588
-0.005030538480154889,-0.1995447943610005,-0.148248191108698
-0.005029288480154889,-0.1998882162249192,-0.1485890602088374
-0.005028038480154889,-0.1988579506331631,-0.148248191108698
-0.005026788480154889,-0.1992013724970819,-0.148248191108698
