Time (s),Channel 1 (V),Channel 2 (V)
-0.001023992750621375,-0.3898005069719568,-0.4996842333523714
-0.001023742750621375,-0.3898005069719568,-0.5003659715526503
-0.001023492750621375,-0.3898005069719568,-0.5007068406527894
-0.001023242750621375,-0.3904873506997938,-0.5003659715526503
-0.001022992750621375,-0.3908307725637129,-0.5007068406527895
-0.001022742750621375,-0.3915176162915502,-0.5010477097529289
-0.001022492750621375,-0.3915176162915502,-0.5007068406527895
-0.001022242750621375,-0.3915176162915502,-0.5010477097529284
-0.001021992750621375,-0.3915176162915502,-0.5000251024525104
-0.001021742750621375,-0.3915176162915502,-0.4990024951520932
-0.001021492750621375,-0.3922044600193876,-0.4996842333523714
-0.001021242750621375,-0.3915176162915502,-0.4996842333523714
-0.001020992750621375,-0.391861038155469,-0.5003659715526502
-0.001020742750621375,-0.391861038155469,-0.5003659715526502
-0.001020492750621375,-0.3922044600193878,-0.5000251024525108
-0.001020242750621375,-0.3925478818833062,-0.4996842333523716
-0.001019992750621375,-0.3925478818833064,-0.5003659715526498
-0.001019742750621375,-0.392891303747225,-0.5003659715526502
-0.001019492750621375,-0.3922044600193876,-0.5000251024525109
-0.001019242750621375,-0.3925478818833064,-0.5000251024525109
-0.001018992750621375,-0.3925478818833064,-0.5000251024525108
-0.001018742750621375,-0.3925478818833067,-0.4996842333523719
-0.001018492750621375,-0.3932347256111434,-0.500706840652789
-0.001018242750621375,-0.3925478818833067,-0.5003659715526503
-0.001017992750621375,-0.3939215693389811,-0.5003659715526502
-0.001017742750621375,-0.3942649912028998,-0.5003659715526502
-0.001017492750621375,-0.3942649912028998,-0.5007068406527895
-0.001017242750621375,-0.3942649912028997,-0.5010477097529288
-0.001016992750621375,-0.3939215693389809,-0.5007068406527895
-0.001016742750621375,-0.3935781474750626,-0.5007068406527895
-0.001016492750621375,-0.3932347256111438,-0.5003659715526502
-0.001016242750621375,-0.3942649912028998,-0.5007068406527895
-0.001015992750621375,-0.3939215693389811,-0.5003659715526502
-0.001015742750621375,-0.3942649912029,-0.5000251024525109
-0.001015492750621375,-0.3946084130668182,-0.5000251024525105
-0.001015242750621375,-0.3939215693389814,-0.4993433642522324
-0.001014992750621375,-0.3949518349307368,-0.5000251024525105
-0.001014742750621375,-0.3952952567946559,-0.4996842333523714
-0.001014492750621375,-0.3949518349307372,-0.4996842333523714
-0.001014242750621375,-0.3952952567946559,-0.4993433642522321
-0.001013992750621375,-0.395295256794656,-0.4993433642522324
-0.001013742750621375,-0.395638678658575,-0.5000251024525109
