Time (s),Channel 1 (V),Channel 2 (V)
-0.002580478923076923,-0.1992013724970819,-0.198355948829183
-0.002579848923076924,-0.1995447943610004,-0.198355948829183
-0.002579218923076923,-0.1998882162249192,-0.1990376870294617
-0.002578588923076923,-0.199201372497082,-0.1983559488291832
-0.002577958923076923,-0.1995447943610005,-0.1986968179293224
-0.002577328923076923,-0.1995447943610005,-0.1986968179293224
-0.002576698923076924,-0.1995447943610005,-0.1990376870294615
-0.002576068923076923,-0.1992013724970819,-0.1986968179293224
-0.002575438923076923,-0.2002316380888379,-0.199378556129601
-0.002574808923076924,-0.1998882162249194,-0.199378556129601
-0.002574178923076923,-0.2005750599527566,-0.1997194252297404
-0.002573548923076923,-0.2002316380888379,-0.1990376870294617
-0.002572918923076923,-0.2002316380888379,-0.1990376870294617
-0.002572288923076923,-0.2002316380888379,-0.199378556129601
-0.002571658923076923,-0.199888216224919,-0.199378556129601
-0.002571028923076923,-0.1995447943610005,-0.199378556129601
-0.002570398923076923,-0.2005750599527566,-0.199378556129601
-0.002569768923076924,-0.2002316380888381,-0.1997194252297402
-0.002569138923076923,-0.1995447943610005,-0.1997194252297404
-0.002568508923076923,-0.2002316380888375,-0.1997194252297398
-0.002567878923076923,-0.1992013724970819,-0.198355948829183
-0.002567248923076923,-0.1992013724970819,-0.1986968179293224
-0.002566618923076923,-0.2002316380888379,-0.1993785561296013
-0.002565988923076923,-0.2002316380888379,-0.2000602943298798
-0.002565358923076923,-0.1992013724970819,-0.1990376870294617
-0.002564728923076924,-0.1995447943610004,-0.1993785561296009
-0.002564098923076923,-0.2002316380888379,-0.1997194252297404
-0.002563468923076923,-0.2002316380888378,-0.1997194252297401
-0.002562838923076924,-0.1998882162249192,-0.1990376870294617
-0.002562208923076923,-0.1995447943610005,-0.199378556129601
-0.002561578923076923,-0.1992013724970819,-0.1993785561296009
-0.002560948923076923,-0.1992013724970819,-0.1990376870294617
-0.002560318923076923,-0.1995447943610005,-0.1986968179293224
-0.002559688923076924,-0.1995447943610005,-0.1986968179293224
-0.002559058923076923,-0.1995447943610005,-0.1986968179293224
-0.002558428923076923,-0.1995447943610005,-0.1986968179293224
-0.002557798923076924,-0.2002316380888379,-0.199378556129601
-0.002557168923076923,-0.2002316380888379,-0.1990376870294617
-0.002556538923076923,-0.2002316380888379,-0.1990376870294617
-0.002555908923076923,-0.2002316380888379,-0.1990376870294617
-0.002555278923076923,-0.1992013724970819,-0.1986968179293224
-0.002554648923076924,-0.1992013724970819,-0.1983559488291832
-0.002554018923076923,-0.1992013724970819,-0.1980150797290436
-0.002553388923076923,-0.1995447943610005,-0.198355948829183
-0.002552758923076924,-0.1998882162249192,-0.1986968179293224
-0.002552128923076923,-0.2002316380888379,-0.199378556129601
-0.002551498923076923,-0.1995447943610005,-0.1990376870294615
-0.002550868923076923,-0.1995447943610005,-0.1986968179293224
-0.002550238923076923,-0.1998882162249192,-0.199378556129601
-0.002549608923076924,-0.1998882162249192,-0.2000602943298795
-0.002548978923076923,-0.2002316380888379,-0.2007420325301585
-0.002548348923076923,-0.1995447943610005,-0.1997194252297404
-0.002547718923076924,-0.199888216224919,-0.199037687029462
-0.002547088923076923,-0.1995447943610005,-0.1990376870294617
-0.002546458923076923,-0.1998882162249194,-0.199378556129601
-0.002545828923076923,-0.2002316380888379,-0.199378556129601
-0.002545198923076923,-0.1998882162249192,-0.1986968179293224
-0.002544568923076924,-0.2002316380888378,-0.1997194252297399
-0.002543938923076923,-0.1992013724970819,-0.199378556129601
-0.002543308923076923,-0.1995447943610005,-0.199378556129601
-0.002542678923076924,-0.1995447943610005,-0.1990376870294618
-0.002542048923076923,-0.1998882162249192,-0.1990376870294617
-0.002541418923076923,-0.1998882162249189,-0.199378556129601
-0.002540788923076923,-0.1992013724970819,-0.199378556129601
-0.002540158923076923,-0.1988579506331631,-0.1986968179293224
-0.002539528923076924,-0.1998882162249187,-0.1986968179293224
-0.002538898923076923,-0.1992013724970819,-0.198355948829183
-0.002538268923076923,-0.1992013724970819,-0.1986968179293224
-0.002537638923076924,-0.1995447943610004,-0.1990376870294615
-0.002537008923076923,-0.1995447943610005,-0.1990376870294617
-0.002536378923076923,-0.1995447943610004,-0.1993785561296007
-0.002535748923076923,-0.1992013724970819,-0.1986968179293224
-0.002535118923076923,-0.1995447943610005,-0.198355948829183
-0.002534488923076923,-0.2005750599527566,-0.1990376870294618
-0.002533858923076923,-0.2005750599527566,-0.199378556129601
-0.002533228923076923,-0.2002316380888379,-0.199378556129601
-0.002532598923076924,-0.1998882162249194,-0.199378556129601
-0.002531968923076923,-0.1995447943610005,-0.199378556129601
-0.002531338923076923,-0.1992013724970819,-0.1990376870294618
-0.002530708923076923,-0.1992013724970819,-0.199378556129601
-0.002530078923076923,-0.1995447943610005,-0.199378556129601
-0.002529448923076923,-0.2002316380888381,-0.199378556129601
-0.002528818923076923,-0.2005750599527566,-0.199378556129601
-0.002528188923076923,-0.2009184818166753,-0.1997194252297404
-0.002527558923076924,-0.2002316380888382,-0.1993785561296012
-0.002526928923076923,-0.1995447943610005,-0.1990376870294617
-0.002526298923076923,-0.1992013724970819,-0.1990376870294617
-0.002525668923076924,-0.1995447943610005,-0.1990376870294617
-0.002525038923076923,-0.1998882162249192,-0.2000602943298798
-0.002524408923076923,-0.1998882162249194,-0.1993785561296012
-0.002523778923076923,-0.2002316380888379,-0.1997194252297404
-0.002523148923076923,-0.1998882162249192,-0.199378556129601
-0.002522518923076924,-0.1995447943610007,-0.1983559488291835
-0.002521888923076923,-0.1995447943610005,-0.198355948829183
-0.002521258923076923,-0.1998882162249192,-0.198355948829183
-0.002520628923076924,-0.1995447943610005,-0.1986968179293224
