Time (s),Channel 1 (V),Channel 2 (V)
-0.001023995593220339,-0.4972915503785079,-0.5000251024525109
-0.001023745593220339,-0.4972915503785079,-0.5000251024525109
-0.001023495593220339,-0.4972915503785079,-0.5000251024525109
-0.001023245593220339,-0.497978394106345,-0.5007068406527891
-0.001022995593220339,-0.4972915503785079,-0.5007068406527895
-0.001022745593220339,-0.4972915503785079,-0.5003659715526502
-0.001022495593220339,-0.4979783941063453,-0.5007068406527895
-0.001022245593220339,-0.4979783941063455,-0.5007068406527896
-0.001021995593220339,-0.4983218159702638,-0.5010477097529293
-0.001021745593220339,-0.4979783941063455,-0.5020703170533465
-0.001021495593220339,-0.4976349722424266,-0.5003659715526502
-0.001021245593220339,-0.4979783941063453,-0.5010477097529289
-0.001020995593220339,-0.498321815970264,-0.5010477097529289
-0.001020745593220339,-0.4979783941063453,-0.5010477097529289
-0.001020495593220339,-0.4972915503785083,-0.5007068406527896
-0.001020245593220339,-0.497978394106345,-0.5010477097529288
-0.001019995593220339,-0.4979783941063453,-0.5007068406527896
-0.001019745593220339,-0.4986652378341827,-0.5020703170533469
-0.001019495593220339,-0.4986652378341827,-0.5013885788530682
-0.001019245593220339,-0.498321815970264,-0.5020703170533469
-0.001018995593220339,-0.498321815970264,-0.5013885788530682
-0.001018745593220339,-0.4983218159702638,-0.5013885788530681
-0.001018495593220339,-0.4979783941063455,-0.501047709752929
-0.001018245593220339,-0.4983218159702638,-0.5010477097529289
-0.001017995593220339,-0.4979783941063453,-0.5010477097529289
-0.001017745593220339,-0.4986652378341827,-0.5010477097529289
-0.001017495593220339,-0.4986652378341827,-0.5013885788530682
-0.001017245593220339,-0.4983218159702638,-0.5007068406527894
-0.001016995593220339,-0.4979783941063455,-0.5003659715526502
-0.001016745593220339,-0.4983218159702638,-0.5003659715526502
-0.001016495593220339,-0.498321815970264,-0.5007068406527895
-0.001016245593220339,-0.498321815970264,-0.5007068406527895
-0.001015995593220339,-0.4986652378341827,-0.5007068406527895
-0.001015745593220339,-0.4972915503785084,-0.5003659715526503
-0.001015495593220339,-0.4983218159702638,-0.5007068406527895
-0.001015245593220339,-0.4979783941063455,-0.5007068406527895
-0.001014995593220339,-0.4983218159702638,-0.5010477097529288
-0.001014745593220339,-0.4979783941063453,-0.5010477097529289
-0.001014495593220339,-0.4976349722424266,-0.5003659715526502
-0.001014245593220339,-0.4972915503785079,-0.5003659715526502
-0.001013995593220339,-0.4979783941063453,-0.5007068406527896
-0.001013745593220339,-0.4979783941063453,-0.5010477097529286
-0.001013495593220339,-0.4979783941063453,-0.5003659715526505
-0.001013245593220339,-0.4979783941063453,-0.5010477097529289
-0.001012995593220339,-0.498321815970264,-0.5010477097529289
-0.001012745593220339,-0.498321815970264,-0.5013885788530682
-0.001012495593220339,-0.4986652378341827,-0.5017294479532075
-0.001012245593220339,-0.4986652378341825,-0.5020703170533468
-0.001011995593220339,-0.4983218159702641,-0.5017294479532076
-0.001011745593220339,-0.498321815970264,-0.5013885788530683
-0.001011495593220339,-0.4979783941063453,-0.5020703170533469
-0.001011245593220339,-0.4976349722424266,-0.5013885788530682
-0.001010995593220339,-0.4976349722424266,-0.5010477097529289
-0.001010745593220339,-0.4979783941063449,-0.5007068406527891
-0.001010495593220339,-0.4969481285145895,-0.5000251024525113
-0.001010245593220339,-0.4976349722424263,-0.5010477097529284
-0.001009995593220339,-0.4972915503785079,-0.5000251024525109
-0.001009745593220339,-0.4969481285145892,-0.4996842333523714
-0.001009495593220339,-0.4969481285145892,-0.5010477097529289
-0.001009245593220339,-0.4976349722424266,-0.5003659715526502
-0.001008995593220339,-0.4969481285145894,-0.5007068406527895
-0.001008745593220339,-0.4972915503785078,-0.5007068406527895
-0.001008495593220339,-0.497978394106345,-0.5007068406527895
-0.001008245593220339,-0.4979783941063453,-0.5007068406527895
-0.001007995593220339,-0.4986652378341827,-0.5013885788530682
-0.001007745593220339,-0.4979783941063453,-0.5000251024525109
-0.001007495593220339,-0.4986652378341825,-0.5013885788530681
-0.001007245593220339,-0.4983218159702641,-0.5010477097529292
-0.001006995593220339,-0.4986652378341825,-0.5017294479532072
-0.001006745593220339,-0.4990086596981014,-0.5013885788530682
-0.001006495593220339,-0.4990086596981014,-0.5017294479532075
-0.001006245593220339,-0.4990086596981014,-0.5013885788530682
-0.001005995593220339,-0.4979783941063453,-0.5010477097529289
-0.001005745593220339,-0.4979783941063451,-0.5010477097529288
-0.001005495593220339,-0.4976349722424268,-0.5007068406527896
-0.001005245593220339,-0.4976349722424266,-0.5010477097529288
-0.001004995593220339,-0.4976349722424266,-0.5003659715526502
-0.001004745593220339,-0.4979783941063453,-0.5007068406527895
-0.001004495593220339,-0.4976349722424266,-0.5007068406527895
-0.001004245593220339,-0.4976349722424268,-0.5007068406527891
-0.001003995593220339,-0.4979783941063453,-0.5000251024525112
-0.001003745593220339,-0.4979783941063453,-0.5007068406527891
-0.001003495593220339,-0.4976349722424266,-0.5000251024525109
-0.001003245593220339,-0.4972915503785079,-0.4996842333523714
-0.001002995593220339,-0.4972915503785079,-0.5007068406527895
-0.001002745593220339,-0.4976349722424266,-0.5013885788530682
-0.001002495593220339,-0.4976349722424269,-0.5010477097529292
-0.001002245593220339,-0.4983218159702636,-0.5017294479532072
-0.001001995593220339,-0.4976349722424269,-0.5007068406527899
-0.001001745593220339,-0.498321815970264,-0.5013885788530682
-0.001001495593220339,-0.498321815970264,-0.5010477097529289
