Time (s),Channel 1 (V),Channel 2 (V)
-0.001023898393399913,-0.4931704880114836,-0.4993433642522321
-0.001023648393399913,-0.4938573317393208,-0.500706840652789
-0.001023398393399913,-0.4935139098754024,-0.4996842333523719
-0.001023148393399913,-0.4931704880114837,-0.4996842333523714
-0.001022898393399913,-0.4931704880114836,-0.5000251024525109
-0.001022648393399913,-0.4938573317393209,-0.5003659715526502
-0.001022398393399913,-0.4935139098754023,-0.5000251024525109
-0.001022148393399913,-0.4945441754671583,-0.5003659715526503
-0.001021898393399913,-0.4945441754671582,-0.5007068406527891
-0.001021648393399913,-0.4942007536032398,-0.5000251024525112
-0.001021398393399913,-0.4945441754671583,-0.5010477097529289
-0.001021148393399913,-0.4935139098754023,-0.5000251024525109
-0.001020898393399913,-0.4942007536032397,-0.5000251024525109
-0.001020648393399913,-0.4942007536032397,-0.5007068406527895
-0.001020398393399913,-0.4942007536032397,-0.5007068406527895
-0.001020148393399913,-0.4942007536032397,-0.5007068406527895
-0.001019898393399913,-0.4942007536032397,-0.5010477097529288
-0.001019648393399913,-0.4945441754671583,-0.5010477097529289
-0.001019398393399913,-0.4945441754671583,-0.5003659715526502
-0.001019148393399913,-0.4948875973310771,-0.5010477097529289
-0.001018898393399913,-0.4948875973310766,-0.5000251024525108
-0.001018648393399913,-0.4938573317393208,-0.4996842333523713
-0.001018398393399913,-0.4935139098754024,-0.4993433642522322
-0.001018148393399913,-0.4938573317393208,-0.4996842333523713
-0.001017898393399913,-0.4935139098754023,-0.5000251024525109
-0.001017648393399913,-0.4938573317393209,-0.5007068406527895
-0.001017398393399913,-0.4935139098754023,-0.5000251024525109
-0.001017148393399913,-0.4935139098754023,-0.5007068406527894
-0.001016898393399913,-0.4935139098754021,-0.5003659715526501
-0.001016648393399913,-0.4931704880114837,-0.500025102452511
-0.001016398393399913,-0.4935139098754023,-0.4996842333523714
-0.001016148393399913,-0.4945441754671583,-0.5007068406527895
-0.001015898393399913,-0.4942007536032397,-0.5000251024525109
-0.001015648393399913,-0.4942007536032395,-0.5007068406527891
-0.001015398393399913,-0.4938573317393206,-0.5000251024525113
-0.001015148393399913,-0.4931704880114839,-0.5010477097529284
-0.001014898393399913,-0.4935139098754021,-0.5003659715526505
-0.001014648393399913,-0.4942007536032397,-0.5000251024525109
-0.001014398393399913,-0.4928270661475649,-0.5000251024525109
-0.001014148393399913,-0.4928270661475649,-0.4996842333523714
-0.001013898393399913,-0.4928270661475651,-0.4996842333523718
-0.001013648393399913,-0.493170488011484,-0.5003659715526501
-0.001013398393399913,-0.4942007536032392,-0.500025102452511
-0.001013148393399913,-0.4935139098754023,-0.4993433642522321
-0.001012898393399913,-0.4935139098754023,-0.4993433642522321
-0.001012648393399913,-0.4942007536032397,-0.4993433642522321
-0.001012398393399913,-0.4938573317393209,-0.4990024951520927
-0.001012148393399913,-0.4938573317393206,-0.4993433642522322
-0.001011898393399913,-0.4931704880114839,-0.4996842333523713
-0.001011648393399913,-0.4931704880114836,-0.5003659715526498
-0.001011398393399913,-0.4935139098754023,-0.5000251024525109
-0.001011148393399913,-0.4935139098754023,-0.5003659715526502
-0.001010898393399913,-0.4938573317393209,-0.5007068406527895
-0.001010648393399913,-0.4938573317393209,-0.5007068406527895
-0.001010398393399913,-0.4938573317393209,-0.5007068406527898
-0.001010148393399913,-0.4938573317393209,-0.5013885788530679
-0.001009898393399913,-0.4935139098754023,-0.5007068406527895
